"gene_id","GO_ids"
"LOC116214977","GO:0000981; GO:0000987; GO:0005634; GO:0045944; GO:0046983"
"LOC116212790","GO:0000139; GO:0005802; GO:0010008; GO:0016021"
"LOC116215061","GO:0003824"
"LOC116214178","GO:0005524; GO:0006457; GO:0009408; GO:0031072; GO:0046872; GO:0051082"
"LOC116212620","GO:0001522; GO:0003723; GO:0009982"
"LOC116213040","GO:0047834"
"LOC116215707","GO:0016757"
"LOC116214732","GO:0030145; GO:0070006"
"LOC116215402","GO:0003700"
"LOC116215561",""
"LOC116213781","GO:0005509; GO:0005544; GO:0006950"
"LOC116214857","GO:0048046"
"LOC116215146",""
"LOC116213854","GO:0005509; GO:0005788; GO:0006457; GO:0030246; GO:0051082"
"LOC116213115","GO:0003676; GO:0003678; GO:0005524; GO:0005634; GO:0006310; GO:0016887"
"LOC116215113",""
"LOC116215062","GO:0008270"
"LOC116214046","GO:0016791"
"LOC116212801",""
"LOC116214610","GO:0006644; GO:0016747"
"LOC116214230","GO:0004672; GO:0005524; GO:0016021"
"LOC116213116","GO:0005737; GO:0008168; GO:0016021; GO:0032259; GO:0043231"
"LOC116215314","GO:0046872"
"LOC116214733","GO:0003676; GO:0008408"
"LOC116214640",""
"LOC116212672","GO:0006355; GO:0042644"
"LOC116212950","GO:0003677; GO:0003899; GO:0006351; GO:0008270"
"LOC116215582",""
"LOC116215232","GO:0005794; GO:0016021; GO:0016192; GO:0031267"
"LOC116214212","GO:0016021; GO:0046872"
"LOC116214651",""
"LOC116189994","GO:0046872"
"LOC116215091","GO:0016021; GO:0046577; GO:0050660"
"LOC116214757",""
"LOC116212778",""
"LOC116215446",""
"LOC116214052",""
"LOC116214654","GO:0004672; GO:0005524; GO:0016021"
"LOC116215233","GO:0016021"
"LOC116212662",""
"LOC116212870","GO:0016021"
"LOC116215425","GO:0008270"
"LOC116215613","GO:0005524; GO:0005737; GO:0016887; GO:0042026"
"LOC116214189","GO:0004784; GO:0046872"
"LOC116214214",""
"LOC116189221","GO:0016021"
"LOC116215067","GO:0016021"
"LOC116213355","GO:0016773; GO:0019200; GO:0019252; GO:0044281"
"LOC116213460","GO:0004674; GO:0005524"
"LOC116215635","GO:0007140; GO:0007143"
"LOC116214834","GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872"
"LOC116215017","GO:0003676"
"LOC116212689",""
"LOC116212829","GO:0003723"
"LOC116212922","GO:0005886; GO:0016021"
"LOC116215036","GO:0009908; GO:0030154"
"LOC116214869","GO:0003700; GO:0005634; GO:0043565"
"LOC116212908","GO:0000398; GO:0003723; GO:0005681; GO:0005688; GO:0046540"
"LOC116215350","GO:0005975; GO:0047274"
"LOC116213457","GO:0003774; GO:0003779; GO:0005516; GO:0005524; GO:0007015; GO:0016459; GO:0030048"
"LOC116212650",""
"LOC116215578",""
"LOC116214322","GO:0003700; GO:0005634; GO:0043565"
"LOC116213196","GO:0016021"
"LOC116212714","GO:0000287; GO:0003677; GO:0005654; GO:0005730; GO:0005739; GO:0006284; GO:0008409; GO:0017108; GO:0043137"
"LOC116213592","GO:0005777; GO:0016021; GO:0016560"
"LOC116214928","GO:0048046"
"LOC116215059",""
"LOC116214817","GO:0009908; GO:0030154"
"LOC116212865","GO:0016757"
"LOC116214896",""
"LOC116209806",""
"LOC116201942","GO:0016021"
"LOC116211540","GO:0000139; GO:0045489; GO:0047262; GO:0071555"
"LOC116215282",""
"LOC116213445",""
"LOC116215047","GO:0006633; GO:0016702; GO:0031408; GO:0034440; GO:0046872"
"LOC116214258","GO:0003700; GO:0005634; GO:0046983"
"LOC116213853","GO:0004427; GO:0009678; GO:0016021"
"LOC116213005","GO:0005504; GO:0009627"
"LOC116215511","GO:0005634; GO:0005886; GO:0009738"
"LOC116215381","GO:0016301"
"LOC116213894","GO:0004497; GO:0005506; GO:0016705; GO:0020037"
"LOC116214957","GO:0005886; GO:0016021"
"LOC116215202",""
"LOC116187930","GO:0005741; GO:0008320; GO:0030150"
"LOC116214954",""
"LOC116213573",""
"LOC116215261","GO:0005634; GO:0005737"
"LOC116187989","GO:0016021"
"LOC116215636","GO:0004351; GO:0006536; GO:0030170"
"LOC116214756","GO:0016021; GO:0016192; GO:0043231"
"LOC116212832","GO:0003677; GO:0003700; GO:0005634"
"LOC116214656","GO:0003676; GO:0008408"
"LOC116215242",""
"LOC116215517","GO:0003824"
"LOC116213892","GO:0106306; GO:0106307"
"LOC116215332","GO:0016020"
"LOC116215455","GO:0005544; GO:0060548"
"LOC116214731","GO:0016021"
"LOC116214643","GO:0003855; GO:0004764; GO:0009423"
"LOC116215575","GO:0003924; GO:0005525"
"LOC116188506","GO:0003724; GO:0003743; GO:0005524; GO:0016787"
"LOC116212702","GO:0009908; GO:0030154"
"LOC116214087","GO:0003723; GO:0033897"
"LOC116212681","GO:0009630"
"LOC116215300","GO:0005506; GO:0005737; GO:0016226; GO:0051536"
"LOC116213877","GO:0004672; GO:0005524"
"LOC116213684","GO:0003993; GO:0046872"
"LOC116192763","GO:0016853"
"LOC116215289","GO:0003729; GO:0003735; GO:0005829; GO:0005840; GO:0006412"
"LOC116213531","GO:0006914"
"LOC116192740","GO:0005634; GO:0046983"
"LOC116214012",""
"LOC116215700","GO:0003735; GO:0006412; GO:0022626"
"LOC116195176",""
"LOC116215667","GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037"
"LOC116214028","GO:0006869; GO:0008289"
"LOC116212977","GO:0005524; GO:0005886; GO:0009536; GO:0016021; GO:0140359"
"LOC116215090",""
"LOC116213587","GO:0003993; GO:0046872"
"LOC116215737","GO:0016757"
"LOC116198180",""
"LOC116214893","GO:0003712; GO:0006357; GO:0016592"
"LOC116211961","GO:0005524; GO:0009536; GO:0016021; GO:0140359"
"LOC116214754","GO:0003924; GO:0005525; GO:0006412; GO:0043231"
"LOC116212983","GO:0003824"
"LOC116211826","GO:0005783; GO:0016021; GO:0016192"
"LOC116213773",""
"LOC116189352",""
"LOC116213035","GO:0005507; GO:0046274; GO:0048046; GO:0052716"
"LOC116189834",""
"LOC116214015","GO:0003755; GO:0061077"
"LOC116215623","GO:0004674; GO:0004712; GO:0005524; GO:0106310"
"LOC116215448",""
"LOC116192797",""
"LOC116193280",""
"LOC116193279",""
"LOC116215460","GO:0016021"
"LOC116189995","GO:0016021"
"LOC116189152","GO:0016301"
"LOC116215080","GO:0004356; GO:0005524; GO:0006542"
"LOC116213162",""
"LOC116215281","GO:0003676; GO:0003724; GO:0005524; GO:0016787"
"LOC116213783",""
"LOC116195261",""
"LOC116187465",""
"LOC116214248","GO:0004674; GO:0005524; GO:0051301"
"LOC116187219","GO:0097573"
"LOC116213657","GO:0016021"
"LOC116215426",""
"LOC116215397",""
"LOC116192289",""
"LOC116201176","GO:0005886; GO:0006811; GO:0016021; GO:0055085"
"LOC116215105","GO:0004869"
"LOC116192532","GO:0005634; GO:0008270; GO:0018024"
"LOC116214858","GO:0006952"
"LOC116214836",""
"LOC116193448",""
"LOC116214295",""
"LOC116193153",""
"LOC116213359","GO:0004857"
"LOC116215574",""
"LOC116203764","GO:0005886; GO:0009734"
"LOC116192945","GO:0016491; GO:0046872"
"LOC116195619","GO:0004672; GO:0005524; GO:0005789; GO:0016021; GO:0038199; GO:0046872; GO:0051740"
"LOC116213507","GO:0000062; GO:0008289"
"LOC116209874","GO:0016021; GO:0055085"
"LOC116210463","GO:0004672; GO:0005524; GO:0016021"
"LOC116215074","GO:0004869"
"LOC116214014",""
"LOC116193155","GO:0008194"
"LOC116211945","GO:0009523; GO:0009535; GO:0015979; GO:0016021"
"LOC116203486","GO:0005576; GO:0060320"
"LOC116192751","GO:0004190; GO:0006629"
"LOC116213803","GO:0004176; GO:0004252; GO:0005524; GO:0005759; GO:0006515; GO:0009536; GO:0016887; GO:0034599; GO:0043565; GO:0051131; GO:0070407"
"LOC116211488","GO:0005634"
"LOC116212774","GO:0000398; GO:0005682; GO:0046540"
"LOC116194339","GO:0000981; GO:0003677; GO:0005634; GO:0045944"
"LOC116192646",""
"LOC116215248","GO:0003735; GO:0005840; GO:0006412; GO:0016021"
"LOC116214649",""
"LOC116192626","GO:0005737"
"LOC116214079","GO:0006885; GO:0015385; GO:0016021"
"LOC116213096","GO:0006952"
"LOC116193185","GO:0000226; GO:0005737; GO:0005874; GO:0008017"
"LOC116213815",""
"LOC116214198",""
"LOC116191989","GO:0016021"
"LOC116214321","GO:0004176; GO:0004252; GO:0009526; GO:0009570"
"LOC116192533","GO:0046872"
"LOC116191765","GO:0005524; GO:0009536; GO:0016021; GO:0140359"
"LOC116214980","GO:0016787"
"LOC116215960","GO:0004364; GO:0005829; GO:0006749; GO:0009407"
"LOC116213304","GO:0003700; GO:0005634; GO:0043565"
"LOC116207265","GO:0006952"
"LOC116216000","GO:0005576"
"LOC116214794","GO:0004124; GO:0006535"
"LOC116193743","GO:0016021"
"LOC116188871","GO:0006396"
"LOC116215997",""
"LOC116215999",""
"LOC116192701",""
"LOC116192678",""
"LOC116213066","GO:0005484; GO:0006886; GO:0016021; GO:0016192"
"LOC116212834","GO:0046872"
"LOC116215326","GO:0016021"
"LOC116188105",""
"LOC116213647","GO:0005509; GO:0009507; GO:0009654; GO:0015979; GO:0019898"
"LOC116189648","GO:0004834"
"LOC116212941","GO:0000079; GO:0019901"
"LOC116192371","GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730; GO:0046872"
"LOC116194962","GO:0005886; GO:0006869; GO:0008289; GO:0016021; GO:0031225"
"LOC116193252","GO:0000398"
"LOC116191992","GO:0000398"
"LOC116192142",""
"LOC116215989","GO:0000139; GO:0016021; GO:0016757"
"LOC116194234","GO:0005682"
"LOC116197331","GO:0008194"
"LOC116193604","GO:0016021"
"LOC116216009","GO:0016021; GO:0022857"
"LOC116210472","GO:0006629; GO:0016021; GO:0016491"
"LOC116193284","GO:0003723"
"LOC116188892","GO:0003723"
"LOC116203811","GO:0004672; GO:0005524"
"LOC116214150","GO:0006355"
"LOC116198111","GO:0005093; GO:0007264; GO:0015031"
"LOC116194233","GO:0004672; GO:0005524; GO:0005886; GO:0016021"
"LOC116187992","GO:0006457; GO:0016272; GO:0051082"
"LOC116208640","GO:0005524; GO:0016021; GO:0019829; GO:0046872"
"LOC116195482","GO:0003924; GO:0005525; GO:0005737"
"LOC116192157",""
"LOC116195376",""
"LOC116195238","GO:0000977; GO:0003700; GO:0005634; GO:0045944; GO:0046983"
"LOC116193064","GO:0003723; GO:0005634; GO:0005737; GO:0006408; GO:0015031"
"LOC116196392","GO:0003677; GO:0006355"
"LOC116215407","GO:0016021"
"LOC116196380","GO:0005737; GO:0043161; GO:0046872; GO:0061630"
"LOC116215310","GO:0010028; GO:0046422"
"LOC116196373",""
"LOC116193926",""
"LOC116203782","GO:0006355; GO:0042393"
"LOC116196730","GO:0004506; GO:0016021; GO:0016126; GO:0050660"
"LOC116215966",""
"LOC116198112","GO:0008936; GO:0019365"
"LOC116206815",""
"LOC116196231",""
"LOC116187291","GO:0015031; GO:0030173"
"LOC116191981","GO:0015031; GO:0030173"
"LOC116214995","GO:0006886"
"LOC116215986","GO:0005524; GO:0006298; GO:0016887; GO:0030983; GO:0032300"
"LOC116198882","GO:0003723"
"LOC116199642","GO:0004672; GO:0005524; GO:0016021"
"LOC116215965","GO:0046872"
"LOC116192141","GO:0004176; GO:0004222; GO:0005524; GO:0009536; GO:0016020; GO:0016887"
"LOC116215424","GO:0005737; GO:0007049; GO:0008289; GO:0016020; GO:0051301"
"LOC116192580","GO:0006952"
"LOC116189471","GO:0004190"
"LOC116196372","GO:0003953; GO:0006952; GO:0007165; GO:0016021; GO:0043531"
"LOC116215319","GO:0005576; GO:0016491; GO:0071949"
"LOC116215973","GO:0016021; GO:0022857"
"LOC116189289","GO:0061630"
"LOC116213275","GO:0005506; GO:0008610; GO:0016021; GO:0080132"
"LOC116199708","GO:0004375; GO:0005739; GO:0006546"
"LOC116189312",""
"LOC116187183","GO:0003723; GO:0005681; GO:0045292"
"LOC116194533","GO:0003677; GO:0006355"
"LOC116196837",""
"LOC116192926",""
"LOC116214629","GO:0000166; GO:0005737; GO:0016779; GO:0016787; GO:0080048"
"LOC116214634","GO:0016021"
"LOC116214228",""
"LOC116213296","GO:0005576; GO:0016491; GO:0071949"
"LOC116194235",""
"LOC116192853",""
"LOC116214160","GO:0006629"
"LOC116193925",""
"LOC116216013",""
"LOC116187302","GO:0015031; GO:0030173"
"LOC116213812","GO:0015377; GO:0016021"
"LOC116213805","GO:0003677; GO:0005634; GO:0006355; GO:0009734"
"LOC116198914","GO:0004842"
"LOC116197560","GO:0016021"
"LOC116195816","GO:0000245; GO:0003729; GO:0005681"
"LOC116189445","GO:0003700; GO:0005634; GO:0043565"
"LOC116193756",""
"LOC116192212",""
"LOC116213257",""
"LOC116212887",""
"LOC116192822","GO:0005471; GO:0005743; GO:0016021; GO:0140021; GO:1990544"
"LOC116208092","GO:0003824"
"LOC116215708","GO:0005524; GO:0009536; GO:0016887"
"LOC116214148","GO:0004324; GO:0009507"
"LOC116210516","GO:0004674; GO:0005524"
"LOC116214191","GO:0016021; GO:0022857"
"LOC116186958",""
"LOC116196844","GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730; GO:0046872"
"LOC116197807","GO:0080115"
"LOC116193930",""
"LOC116214662","GO:0072546"
"LOC116193924",""
"LOC116212910","GO:0006952; GO:0043531"
"LOC116213964","GO:0005975; GO:0016853"
"LOC116196385",""
"LOC116215021","GO:0005634"
"LOC116215110","GO:0005509"
"LOC116214378","GO:0016021"
"LOC116198050","GO:0003700; GO:0005634; GO:0043565"
"LOC116195188","GO:0004177; GO:0005737"
"LOC116188619",""
"LOC116193238","GO:0003743; GO:0005737; GO:0005840"
"LOC116193755","GO:0016491"
"LOC116194960","GO:0046872; GO:0106306; GO:0106307"
"LOC116195080",""
"LOC116213959",""
"LOC116194247","GO:0009916; GO:0016021; GO:0046872; GO:0070469; GO:0102721"
"LOC116198547","GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872"
"LOC116201112","GO:0005886; GO:0006811; GO:0016021; GO:0055085"
"LOC116215153",""
"LOC116197158","GO:0003676; GO:0005681; GO:0006397; GO:0008380"
"LOC116215556","GO:0005576; GO:0016491; GO:0071949"
"LOC116188413","GO:0003735; GO:0005840; GO:0006412"
"LOC116216048","GO:0004674; GO:0005509; GO:0005524; GO:0016021; GO:0030247"
"LOC116195244","GO:0003755"
"LOC116189486","GO:0009055"
"LOC116214136","GO:0005789; GO:0006886; GO:0006888; GO:0016021; GO:0070973"
"LOC116213210","GO:0006886; GO:0016192"
"LOC116201391",""
"LOC116197364",""
"LOC116215961","GO:0004364; GO:0005829; GO:0006749; GO:0009407"
"LOC116214818",""
"LOC116197262",""
"LOC116212776",""
"LOC116212830","GO:0005576; GO:0016491; GO:0071949"
"LOC116209090","GO:0008234"
"LOC116193918","GO:0008194"
"LOC116214978","GO:0051087"
"LOC116206805","GO:0008234"
"LOC116214132","GO:0005524; GO:0005525; GO:0005737; GO:0016887; GO:0043022; GO:0043023"
"LOC116193030","GO:0016021"
"LOC116215964","GO:0004364; GO:0005829; GO:0006749; GO:0009407"
"LOC116192392","GO:0005986; GO:0016157; GO:0046524"
"LOC116208378","GO:0016021"
"LOC116195830","GO:0005737; GO:0016491"
"LOC116213961","GO:0009507; GO:0009509; GO:0016117; GO:0016719; GO:0052886; GO:0052887"
"LOC116215979",""
"LOC116212914","GO:0005509"
"LOC116186977","GO:0016791"
"LOC116213088","GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037"
"LOC116192901","GO:0005634; GO:0051783; GO:1904667"
"LOC116215625",""
"LOC116197312","GO:0005829; GO:0005886"
"LOC116194537","GO:0004089; GO:0008270; GO:0015976"
"LOC116214131","GO:0000105; GO:0004399; GO:0009507; GO:0046872; GO:0051287"
"LOC116215483","GO:0016021"
"LOC116214955",""
"LOC116189427","GO:0004672; GO:0005524; GO:0016021"
"LOC116195208",""
"LOC116215852","GO:0003924; GO:0005525"
"LOC116201586","GO:0016021"
"LOC116192377",""
"LOC116192349","GO:0005509"
"LOC116188280","GO:0004722"
"LOC116200492","GO:0000786; GO:0003677; GO:0005634; GO:0046982"
"LOC116192136","GO:0016021; GO:0016760; GO:0030244"
"LOC116213001","GO:0016021; GO:0016760; GO:0030244"
"LOC116199718","GO:0000179; GO:0003723"
"LOC116203910","GO:0004674; GO:0005524; GO:0009881; GO:0018298; GO:0050896"
"LOC116213962",""
"LOC116196601",""
"LOC116189204","GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872"
"LOC116215991","GO:0005484; GO:0006886; GO:0016021; GO:0016192"
"LOC116196171","GO:0004332; GO:0006096"
"LOC116216005",""
"LOC116188056","GO:0005737; GO:0008168; GO:0016021; GO:0032259; GO:0043231"
"LOC116214325","GO:0004497; GO:0005506; GO:0016705; GO:0020037"
"LOC116196436","GO:0015031; GO:0016021; GO:0035673"
"LOC116215447","GO:0005634; GO:0005737; GO:0015631; GO:0031625; GO:0044548"
"LOC116188517",""
"LOC116189251","GO:0016021; GO:0051119"
"LOC116193863","GO:0016226; GO:0051536"
"LOC116192060","GO:0004553; GO:0010411; GO:0016762; GO:0042546; GO:0048046; GO:0071555"
"LOC116192574","GO:0004553; GO:0010411; GO:0016762; GO:0042546; GO:0048046; GO:0071555"
"LOC116214138","GO:0004571; GO:0005509; GO:0005975; GO:0016021"
"LOC116210481",""
"LOC116192363","GO:0005085"
"LOC116193522","GO:0005634; GO:0046983"
"LOC116193636","GO:0016021"
"LOC116198475","GO:0004707; GO:0005524"
"LOC116190473","GO:0004672; GO:0005524; GO:0016021"
"LOC116189124","GO:0004672; GO:0005524; GO:0016021"
"LOC116195522","GO:0005524; GO:0009536; GO:0016021; GO:0140359"
"LOC116194930","GO:0003723; GO:0006397; GO:0016554"
"LOC116188411","GO:0005886; GO:0016021; GO:0016760; GO:0030244; GO:0046872; GO:0071555"
"LOC116192900","GO:0003951"
"LOC116214811","GO:0030145; GO:0048046"
"LOC116206664",""
"LOC116187263","GO:0005886; GO:0016021; GO:0051119"
"LOC116196989","GO:0006807"
"LOC116192874","GO:0004298"
"LOC116195084",""
"LOC116192018","GO:0003677; GO:0006355"
"LOC116215647","GO:0016491"
"LOC116210579","GO:0005634"
"LOC116200137","GO:0016021"
"LOC116193215","GO:0005737; GO:0008168; GO:0016021; GO:0032259; GO:0043231"
"LOC116205302","GO:0003700; GO:0005634; GO:0043565"
"LOC116213452","GO:0003735; GO:0006412; GO:0009507; GO:0015934"
"LOC116213305","GO:0005576; GO:0016491; GO:0071949"
"LOC116189389","GO:0016021"
"LOC116213704","GO:0005524; GO:0009536; GO:0016021; GO:0140359"
"LOC116215133","GO:0008270"
"LOC116215417",""
"LOC116215064",""
"LOC116201566","GO:0016491; GO:0046872"
"LOC116213363","GO:0003690; GO:0006353; GO:0006355"
"LOC116213473","GO:0005789; GO:0006886; GO:0008270; GO:0030127; GO:0090114"
"LOC116194103","GO:0003677; GO:0005730; GO:0006355"
"LOC116196868",""
"LOC116213034","GO:0003700"
"LOC116204823","GO:0008171; GO:0032259; GO:0046983"
"LOC116201185","GO:0006952"
"LOC116211327","GO:0046872"
"LOC116202312","GO:0097573"
"LOC116192555",""
"LOC116193303","GO:0016021"
"LOC116192659","GO:0000139; GO:0016021; GO:0016757; GO:0071555"
"LOC116194590","GO:0006952"
"LOC116213200","GO:0016021"
"LOC116198080","GO:0005768; GO:0007034"
"LOC116208401","GO:0004364; GO:0005829; GO:0006749; GO:0009407"
"LOC116214176",""
"LOC116206583",""
"LOC116212855","GO:0046872; GO:0051213"
"LOC116206743","GO:0016846; GO:0046872"
"LOC116214377","GO:0000977; GO:0005634; GO:0045944; GO:0046983"
"LOC116215656","GO:0004497; GO:0005506; GO:0016705; GO:0020037"
"LOC116207930","GO:0010150"
"LOC116213362","GO:0004674; GO:0004712; GO:0005524; GO:0007165; GO:0106310"
"LOC116207219","GO:0005634; GO:0005886; GO:0009738"
"LOC116208117","GO:0015267; GO:0016021"
"LOC116192057","GO:0003680; GO:0005634"
"LOC116192026","GO:0005484; GO:0006886; GO:0016021; GO:0016192"
"LOC116212740",""
"LOC116202282",""
"LOC116213010","GO:0006486; GO:0008250; GO:0016021; GO:0016740"
"LOC116189239","GO:0006486; GO:0008250; GO:0016021; GO:0016740"
"LOC116207877","GO:0004176; GO:0004252; GO:0009526; GO:0009570"
"LOC116197149","GO:0048236; GO:0070192"
"LOC116188490","GO:0016020; GO:0035091; GO:0043130; GO:0043328"
"LOC116193868","GO:0003680"
"LOC116189185","GO:0009055"
"LOC116208586","GO:0006541; GO:0016740; GO:0016811"
"LOC116192417",""
"LOC116213561","GO:0004674; GO:0005524; GO:0016021"
"LOC116193622","GO:0004674; GO:0004712; GO:0005524; GO:0106310"
"LOC116193207","GO:0016740; GO:0061929"
"LOC116209540",""
"LOC116189070",""
"LOC116201688","GO:0016021"
"LOC116201695","GO:0016021; GO:0022857"
"LOC116193216","GO:0016021; GO:0016567; GO:0016740"
"LOC116209513",""
"LOC116200072",""
"LOC116192658","GO:0051087"
"LOC116190471","GO:0008270"
"LOC116207929","GO:0005789; GO:0016021"
"LOC116214626",""
"LOC116206655",""
"LOC116207994","GO:0003743"
"LOC116199732","GO:0004553; GO:0005975"
"LOC116192105","GO:0009960; GO:0080113"
"LOC116196032","GO:0016021; GO:0016740"
"LOC116208207","GO:0005634; GO:0008270"
"LOC116192012",""
"LOC116213370","GO:0004842"
"LOC116207673","GO:0003743; GO:0005525"
"LOC116208493",""
"LOC116208545","GO:0000139; GO:0016021; GO:0045489; GO:0047262; GO:0071555"
"LOC116208585",""
"LOC116201684","GO:0003723"
"LOC116212972","GO:0006281; GO:0043231; GO:0046872"
"LOC116208494",""
"LOC116207192","GO:0010090"
"LOC116200946","GO:0009734; GO:0016021; GO:0055085; GO:0060918"
"LOC116209298","GO:0008270"
"LOC116203415","GO:0004252; GO:0016021"
"LOC116199742",""
"LOC116189069",""
"LOC116194927","GO:0004497; GO:0005506; GO:0016705; GO:0020037"
"LOC116206598",""
"LOC116195034",""
"LOC116206957","GO:0016021"
"LOC116207431",""
"LOC116188995","GO:0006629; GO:0016021; GO:0016491"
"LOC116208666","GO:0009507; GO:0009695; GO:0046423"
"LOC116195780","GO:0016226; GO:0051536"
"LOC116192326","GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037"
"LOC116207767",""
"LOC116206750","GO:0016021"
"LOC116195368","GO:0016462"
"LOC116207430","GO:0000145; GO:0006887; GO:0015031"
"LOC116207777","GO:0016021; GO:0080143"
"LOC116214865","GO:0008963; GO:0016021"
"LOC116208303","GO:0032955; GO:0051301"
"LOC116215507","GO:0003676; GO:0003724; GO:0005524; GO:0016787"
"LOC116212986","GO:0016747"
"LOC116207772",""
"LOC116215034","GO:0005524; GO:0006952; GO:0043531"
"LOC116207426","GO:0005886; GO:0016021"
"LOC116207900","GO:0003700; GO:0005634; GO:0043565"
"LOC116206660","GO:0004497; GO:0005506; GO:0016705; GO:0020037"
"LOC116187380",""
"LOC116208680","GO:0016973"
"LOC116197595","GO:0008138; GO:0016021"
"LOC116207580","GO:0000287; GO:0004427; GO:0005737; GO:0006796"
"LOC116188629","GO:0005524; GO:0005739; GO:0009507; GO:0016740; GO:0030956; GO:0032543; GO:0050567; GO:0070681"
"LOC116195779","GO:0003723; GO:0004523; GO:0046872"
"LOC116209594","GO:0000786; GO:0003677; GO:0005634; GO:0046982"
"LOC116193189",""
"LOC116207357","GO:0003700"
"LOC116207028","GO:0006355"
"LOC116203414","GO:0005516"
"LOC116207515","GO:0004842; GO:0016021; GO:0046872"
"LOC116187188","GO:0004672; GO:0005524"
"LOC116208116",""
"LOC116196193","GO:0016021"
"LOC116208290","GO:0016021"
"LOC116208300",""
"LOC116207880","GO:0046872"
"LOC116213996","GO:0043231"
"LOC116207751","GO:0004616; GO:0006098; GO:0019521; GO:0050661"
"LOC116207493","GO:0016036"
"LOC116206622","GO:0003677; GO:0003700; GO:0005634"
"LOC116201574","GO:0016021"
"LOC116189346",""
"LOC116208496",""
"LOC116192587","GO:0016042; GO:0016298"
"LOC116208794","GO:0016021; GO:0016757"
"LOC116201573","GO:0005524; GO:0005634; GO:0016887; GO:0043139"
"LOC116208137","GO:0000977; GO:0003700; GO:0005634; GO:0045944; GO:0046983"
"LOC116207947","GO:0005737; GO:0007049; GO:0008360; GO:0008762; GO:0051301; GO:0071555; GO:0071949"
"LOC116192738",""
"LOC116206956","GO:0006629; GO:0008081"
"LOC116207638","GO:0005509"
"LOC116192061","GO:0005096"
"LOC116207659",""
"LOC116200707","GO:0000145; GO:0006887; GO:0015031"
"LOC116207536",""
"LOC116188020",""
"LOC116207434",""
"LOC116207136","GO:0004674; GO:0005524; GO:0016021"
"LOC116189214","GO:0010997; GO:0046621"
"LOC116200500",""
"LOC116208205",""
"LOC116189209","GO:0003950"
"LOC116208495","GO:0006865; GO:0016021"
"LOC116208592","GO:0016021"
"LOC116201853","GO:0016791; GO:0046872"
"LOC116208723","GO:0006865; GO:0016021"
"LOC116207785","GO:0016021"
