transcript_id,protein_id,gene_id
XM_031515613.1,XP_031371473.1,LOC116187031
XM_031515614.1,XP_031371474.1,LOC116187035
XM_031515615.1,XP_031371475.1,LOC116187036
XM_031515616.1,XP_031371476.1,LOC116187037
XM_031515617.1,XP_031371477.1,LOC116187038
XM_031515618.1,XP_031371478.1,LOC116187039
XM_031515619.1,XP_031371479.1,LOC116187040
XM_031515620.1,XP_031371480.1,LOC116187040
XM_031515621.1,XP_031371481.1,LOC116187042
XM_031515622.1,XP_031371482.1,LOC116187043
XM_031515623.1,XP_031371483.1,LOC116187044
XM_031515624.1,XP_031371484.1,LOC116187041
XM_031515625.1,XP_031371485.1,LOC116187045
XM_031515626.1,XP_031371486.1,LOC116187045
XM_031515627.1,XP_031371487.1,LOC116187047
XM_031515628.1,XP_031371488.1,LOC116187047
XM_031515629.1,XP_031371489.1,LOC116187048
XM_031515630.1,XP_031371490.1,LOC116187048
XM_031515631.1,XP_031371491.1,LOC116187048
XM_031515632.1,XP_031371492.1,LOC116187051
XM_031515633.1,XP_031371493.1,LOC116187049
XM_031515634.1,XP_031371494.1,LOC116187052
XM_031515635.1,XP_031371495.1,LOC116187053
XM_031515636.1,XP_031371496.1,LOC116187053
XM_031515637.1,XP_031371497.1,LOC116187054
XM_031515638.1,XP_031371498.1,LOC116187054
XM_031515639.1,XP_031371499.1,LOC116187055
XM_031515640.1,XP_031371500.1,LOC116187056
XM_031515641.1,XP_031371501.1,LOC116187049
XM_031515642.1,XP_031371502.1,LOC116187057
XM_031515643.1,XP_031371503.1,LOC116187058
XM_031515644.1,XP_031371504.1,LOC116187059
XM_031515645.1,XP_031371505.1,LOC116187059
XM_031515646.1,XP_031371506.1,LOC116187060
XM_031515647.1,XP_031371507.1,LOC116187061
XM_031515648.1,XP_031371508.1,LOC116187062
XM_031515649.1,XP_031371509.1,LOC116187049
XM_031515650.1,XP_031371510.1,LOC116187063
XM_031515651.1,XP_031371511.1,LOC116187065
XM_031515652.1,XP_031371512.1,LOC116187066
XM_031515653.1,XP_031371513.1,LOC116187066
XM_031515654.1,XP_031371514.1,LOC116187067
XM_031515655.1,XP_031371515.1,LOC116187068
XM_031515656.1,XP_031371516.1,LOC116187069
XM_031515657.1,XP_031371517.1,LOC116187049
XM_031515658.1,XP_031371518.1,LOC116187070
XM_031515659.1,XP_031371519.1,LOC116187071
XM_031515660.1,XP_031371520.1,LOC116187072
XM_031515661.1,XP_031371521.1,LOC116187073
XM_031515662.1,XP_031371522.1,LOC116187074
XM_031515663.1,XP_031371523.1,LOC116187075
XM_031515664.1,XP_031371524.1,LOC116187076
XM_031515665.1,XP_031371525.1,LOC116187078
XM_031515666.1,XP_031371526.1,LOC116187079
XM_031515667.1,XP_031371527.1,LOC116187080
XM_031515668.1,XP_031371528.1,LOC116187077
XM_031515669.1,XP_031371529.1,LOC116187080
XM_031515670.1,XP_031371530.1,LOC116187081
XM_031515671.1,XP_031371531.1,LOC116187082
XM_031515672.1,XP_031371532.1,LOC116187083
XM_031515673.1,XP_031371533.1,LOC116187083
XM_031515674.1,XP_031371534.1,LOC116187084
XM_031515675.1,XP_031371535.1,LOC116187084
XM_031515676.1,XP_031371536.1,LOC116187084
XM_031515677.1,XP_031371537.1,LOC116187077
XM_031515678.1,XP_031371538.1,LOC116187086
XM_031515679.1,XP_031371539.1,LOC116187086
XM_031515680.1,XP_031371540.1,LOC116187087
XM_031515681.1,XP_031371541.1,LOC116187088
XM_031515682.1,XP_031371542.1,LOC116187088
XM_031515683.1,XP_031371543.1,LOC116187089
XM_031515684.1,XP_031371544.1,LOC116187089
XM_031515685.1,XP_031371545.1,LOC116187092
XM_031515686.1,XP_031371546.1,LOC116187093
XM_031515687.1,XP_031371547.1,LOC116187064
XM_031515688.1,XP_031371548.1,LOC116187090
XM_031515689.1,XP_031371549.1,LOC116187094
XM_031515690.1,XP_031371550.1,LOC116187094
XM_031515691.1,XP_031371551.1,LOC116187095
XM_031515692.1,XP_031371552.1,LOC116187095
XM_031515693.1,XP_031371553.1,LOC116187096
XM_031515694.1,XP_031371554.1,LOC116187097
XM_031515695.1,XP_031371555.1,LOC116187098
XM_031515696.1,XP_031371556.1,LOC116187099
XM_031515697.1,XP_031371557.1,LOC116187099
XM_031515698.1,XP_031371558.1,LOC116187099
XM_031515699.1,XP_031371559.1,LOC116187099
XM_031515700.1,XP_031371560.1,LOC116187101
XM_031515701.1,XP_031371561.1,LOC116187102
XM_031515702.1,XP_031371562.1,LOC116187103
XM_031515703.1,XP_031371563.1,LOC116187105
XM_031515704.1,XP_031371564.1,LOC116187105
XM_031515705.1,XP_031371565.1,LOC116187107
XM_031515706.1,XP_031371566.1,LOC116187108
XM_031515708.1,XP_031371568.1,LOC116187109
XM_031515709.1,XP_031371569.1,LOC116187110
XM_031515710.1,XP_031371570.1,LOC116187111
XM_031515711.1,XP_031371571.1,LOC116187111
XM_031515712.1,XP_031371572.1,LOC116187111
XM_031515713.1,XP_031371573.1,LOC116187111
XM_031515714.1,XP_031371574.1,LOC116187111
XM_031515716.1,XP_031371576.1,LOC116187115
XM_031515717.1,XP_031371577.1,LOC116187115
XM_031515718.1,XP_031371578.1,LOC116187116
XM_031515719.1,XP_031371579.1,LOC116187116
XM_031515720.1,XP_031371580.1,LOC116187114
XM_031515721.1,XP_031371581.1,LOC116187116
XM_031515722.1,XP_031371582.1,LOC116187117
XM_031515723.1,XP_031371583.1,LOC116187118
XM_031515724.1,XP_031371584.1,LOC116187119
XM_031515725.1,XP_031371585.1,LOC116187120
XM_031515726.1,XP_031371586.1,LOC116187121
XM_031515727.1,XP_031371587.1,LOC116187122
XM_031515728.1,XP_031371588.1,LOC116187125
XM_031515729.1,XP_031371589.1,LOC116187127
XM_031515730.1,XP_031371590.1,LOC116187128
XM_031515731.1,XP_031371591.1,LOC116187130
XM_031515732.1,XP_031371592.1,LOC116187131
XM_031515733.1,XP_031371593.1,LOC116187132
XM_031515734.1,XP_031371594.1,LOC116187129
XM_031515735.1,XP_031371595.1,LOC116187133
XM_031515736.1,XP_031371596.1,LOC116187135
XM_031515737.1,XP_031371597.1,LOC116187136
XM_031515738.1,XP_031371598.1,LOC116187136
XM_031515739.1,XP_031371599.1,LOC116187138
XM_031515740.1,XP_031371600.1,LOC116187138
XM_031515741.1,XP_031371601.1,LOC116187139
XM_031515742.1,XP_031371602.1,LOC116187140
XM_031515743.1,XP_031371603.1,LOC116187137
XM_031515744.1,XP_031371604.1,LOC116187144
XM_031515745.1,XP_031371605.1,LOC116187146
XM_031515746.1,XP_031371606.1,LOC116187147
XM_031515747.1,XP_031371607.1,LOC116187149
XM_031515748.1,XP_031371608.1,LOC116187150
XM_031515749.1,XP_031371609.1,LOC116187151
XM_031515750.1,XP_031371610.1,LOC116187148
XM_031515751.1,XP_031371611.1,LOC116187153
XM_031515752.1,XP_031371612.1,LOC116187153
XM_031515753.1,XP_031371613.1,LOC116187153
XM_031515754.1,XP_031371614.1,LOC116187154
XM_031515755.1,XP_031371615.1,LOC116187155
XM_031515756.1,XP_031371616.1,LOC116187155
XM_031515757.1,XP_031371617.1,LOC116187156
XM_031515758.1,XP_031371618.1,LOC116187156
XM_031515759.1,XP_031371619.1,LOC116187148
XM_031515760.1,XP_031371620.1,LOC116187157
XM_031515761.1,XP_031371621.1,LOC116187158
XM_031515762.1,XP_031371622.1,LOC116187158
XM_031515763.1,XP_031371623.1,LOC116187159
XM_031515764.1,XP_031371624.1,LOC116187159
XM_031515765.1,XP_031371625.1,LOC116187160
XM_031515766.1,XP_031371626.1,LOC116187161
XM_031515767.1,XP_031371627.1,LOC116187148
XM_031515768.1,XP_031371628.1,LOC116187162
XM_031515769.1,XP_031371629.1,LOC116187162
XM_031515770.1,XP_031371630.1,LOC116187163
XM_031515771.1,XP_031371631.1,LOC116187164
XM_031515772.1,XP_031371632.1,LOC116187165
XM_031515773.1,XP_031371633.1,LOC116187166
XM_031515774.1,XP_031371634.1,LOC116187167
XM_031515775.1,XP_031371635.1,LOC116187148
XM_031515776.1,XP_031371636.1,LOC116187168
XM_031515777.1,XP_031371637.1,LOC116187169
XM_031515778.1,XP_031371638.1,LOC116187169
XM_031515779.1,XP_031371639.1,LOC116187170
XM_031515780.1,XP_031371640.1,LOC116187171
XM_031515781.1,XP_031371641.1,LOC116187172
XM_031515782.1,XP_031371642.1,LOC116187173
XM_031515783.1,XP_031371643.1,LOC116187148
XM_031515784.1,XP_031371644.1,LOC116187173
XM_031515785.1,XP_031371645.1,LOC116187174
XM_031515786.1,XP_031371646.1,LOC116187174
XM_031515787.1,XP_031371647.1,LOC116187175
XM_031515788.1,XP_031371648.1,LOC116187175
XM_031515789.1,XP_031371649.1,LOC116187176
XM_031515790.1,XP_031371650.1,LOC116187177
XM_031515791.1,XP_031371651.1,LOC116187152
XM_031515792.1,XP_031371652.1,LOC116187178
XM_031515793.1,XP_031371653.1,LOC116187180
XM_031515794.1,XP_031371654.1,LOC116187180
XM_031515795.1,XP_031371655.1,LOC116187180
XM_031515796.1,XP_031371656.1,LOC116187179
XM_031515797.1,XP_031371657.1,LOC116187181
XM_031515798.1,XP_031371658.1,LOC116187181
XM_031515799.1,XP_031371659.1,LOC116187181
XM_031515800.1,XP_031371660.1,LOC116187181
XM_031515801.1,XP_031371661.1,LOC116187181
XM_031515802.1,XP_031371662.1,LOC116187181
XM_031515803.1,XP_031371663.1,LOC116187181
XM_031515804.1,XP_031371664.1,LOC116187181
XM_031515805.1,XP_031371665.1,LOC116187181
XM_031515806.1,XP_031371666.1,LOC116187181
XM_031515807.1,XP_031371667.1,LOC116187179
XM_031515808.1,XP_031371668.1,LOC116187182
XM_031515809.1,XP_031371669.1,LOC116187183
XM_031515810.1,XP_031371670.1,LOC116187183
XM_031515811.1,XP_031371671.1,LOC116187183
XM_031515812.1,XP_031371672.1,LOC116187183
XM_031515813.1,XP_031371673.1,LOC116187184
XM_031515814.1,XP_031371674.1,LOC116187185
XM_031515815.1,XP_031371675.1,LOC116187186
XM_031515816.1,XP_031371676.1,LOC116187188
XM_031515817.1,XP_031371677.1,LOC116187188
XM_031515818.1,XP_031371678.1,LOC116187189
XM_031515819.1,XP_031371679.1,LOC116187187
XM_031515820.1,XP_031371680.1,LOC116187190
XM_031515821.1,XP_031371681.1,LOC116187191
XM_031515822.1,XP_031371682.1,LOC116187192
XM_031515823.1,XP_031371683.1,LOC116187192
XM_031515824.1,XP_031371684.1,LOC116187193
XM_031515825.1,XP_031371685.1,LOC116187193
XM_031515826.1,XP_031371686.1,LOC116187194
XM_031515827.1,XP_031371687.1,LOC116187194
XM_031515828.1,XP_031371688.1,LOC116187187
XM_031515829.1,XP_031371689.1,LOC116187195
XM_031515830.1,XP_031371690.1,LOC116187196
XM_031515831.1,XP_031371691.1,LOC116187198
XM_031515832.1,XP_031371692.1,LOC116187200
XM_031515833.1,XP_031371693.1,LOC116187201
XM_031515834.1,XP_031371694.1,LOC116187202
XM_031515835.1,XP_031371695.1,LOC116187204
XM_031515836.1,XP_031371696.1,LOC116187206
XM_031515837.1,XP_031371697.1,LOC116187203
XM_031515838.1,XP_031371698.1,LOC116187207
XM_031515839.1,XP_031371699.1,LOC116187207
XM_031515840.1,XP_031371700.1,LOC116187208
XM_031515841.1,XP_031371701.1,LOC116187209
XM_031515842.1,XP_031371702.1,LOC116187209
XM_031515843.1,XP_031371703.1,LOC116187210
XM_031515844.1,XP_031371704.1,LOC116187211
XM_031515845.1,XP_031371705.1,LOC116187211
XM_031515846.1,XP_031371706.1,LOC116187211
XM_031515847.1,XP_031371707.1,LOC116187211
XM_031515848.1,XP_031371708.1,LOC116187211
XM_031515849.1,XP_031371709.1,LOC116187213
XM_031515850.1,XP_031371710.1,LOC116187212
XM_031515851.1,XP_031371711.1,LOC116187215
XM_031515852.1,XP_031371712.1,LOC116187215
XM_031515853.1,XP_031371713.1,LOC116187215
XM_031515854.1,XP_031371714.1,LOC116187217
XM_031515855.1,XP_031371715.1,LOC116187218
XM_031515856.1,XP_031371716.1,LOC116187219
XM_031515857.1,XP_031371717.1,LOC116187221
XM_031515858.1,XP_031371718.1,LOC116187221
XM_031515859.1,XP_031371719.1,LOC116187221
XM_031515860.1,XP_031371720.1,LOC116187220
XM_031515861.1,XP_031371721.1,LOC116187222
XM_031515862.1,XP_031371722.1,LOC116187222
XM_031515863.1,XP_031371723.1,LOC116187222
XM_031515864.1,XP_031371724.1,LOC116187222
XM_031515865.1,XP_031371725.1,LOC116187223
XM_031515866.1,XP_031371726.1,LOC116187224
XM_031515867.1,XP_031371727.1,LOC116187224
XM_031515868.1,XP_031371728.1,LOC116187225
XM_031515869.1,XP_031371729.1,LOC116187226
XM_031515870.1,XP_031371730.1,LOC116187229
XM_031515871.1,XP_031371731.1,LOC116187152
XM_031515872.1,XP_031371732.1,LOC116187227
XM_031515873.1,XP_031371733.1,LOC116187229
XM_031515874.1,XP_031371734.1,LOC116187230
XM_031515875.1,XP_031371735.1,LOC116187231
XM_031515876.1,XP_031371736.1,LOC116187232
XM_031515877.1,XP_031371737.1,LOC116187233
XM_031515878.1,XP_031371738.1,LOC116187235
XM_031515879.1,XP_031371739.1,LOC116187227
XM_031515880.1,XP_031371740.1,LOC116187235
XM_031515881.1,XP_031371741.1,LOC116187235
XM_031515882.1,XP_031371742.1,LOC116187235
XM_031515883.1,XP_031371743.1,LOC116187235
XM_031515884.1,XP_031371744.1,LOC116187235
XM_031515885.1,XP_031371745.1,LOC116187235
XM_031515886.1,XP_031371746.1,LOC116187235
XM_031515887.1,XP_031371747.1,LOC116187235
XM_031515888.1,XP_031371748.1,LOC116187235
XM_031515889.1,XP_031371749.1,LOC116187235
XM_031515890.1,XP_031371750.1,LOC116187235
XM_031515891.1,XP_031371751.1,LOC116187239
XM_031515892.1,XP_031371752.1,LOC116187236
XM_031515893.1,XP_031371753.1,LOC116187240
XM_031515894.1,XP_031371754.1,LOC116187240
XM_031515895.1,XP_031371755.1,LOC116187240
XM_031515896.1,XP_031371756.1,LOC116187241
XM_031515897.1,XP_031371757.1,LOC116187242
XM_031515898.1,XP_031371758.1,LOC116187243
XM_031515899.1,XP_031371759.1,LOC116187244
XM_031515900.1,XP_031371760.1,LOC116187245
XM_031515901.1,XP_031371761.1,LOC116187247
XM_031515902.1,XP_031371762.1,LOC116187248
XM_031515903.1,XP_031371763.1,LOC116187249
XM_031515904.1,XP_031371764.1,LOC116187246
XM_031515905.1,XP_031371765.1,LOC116187249
XM_031515906.1,XP_031371766.1,LOC116187249
XM_031515907.1,XP_031371767.1,LOC116187251
XM_031515908.1,XP_031371768.1,LOC116187251
XM_031515909.1,XP_031371769.1,LOC116187251
XM_031515910.1,XP_031371770.1,LOC116187252
XM_031515911.1,XP_031371771.1,LOC116187254
XM_031515912.1,XP_031371772.1,LOC116187255
XM_031515913.1,XP_031371773.1,LOC116187256
XM_031515914.1,XP_031371774.1,LOC116187256
XM_031515915.1,XP_031371775.1,LOC116187257
XM_031515916.1,XP_031371776.1,LOC116187258
XM_031515917.1,XP_031371777.1,LOC116187259
XM_031515918.1,XP_031371778.1,LOC116187260
XM_031515919.1,XP_031371779.1,LOC116187261
XM_031515920.1,XP_031371780.1,LOC116187262
XM_031515921.1,XP_031371781.1,LOC116187263
XM_031515923.1,XP_031371783.1,LOC116187266
XM_031515924.1,XP_031371784.1,LOC116187273
XM_031515925.1,XP_031371785.1,LOC116187274
XM_031515926.1,XP_031371786.1,LOC116187274
XM_031515927.1,XP_031371787.1,LOC116187274
XM_031515928.1,XP_031371788.1,LOC116187272
XM_031515929.1,XP_031371789.1,LOC116187275
XM_031515930.1,XP_031371790.1,LOC116187275
XM_031515931.1,XP_031371791.1,LOC116187277
XM_031515932.1,XP_031371792.1,LOC116187278
XM_031515933.1,XP_031371793.1,LOC116187279
XM_031515934.1,XP_031371794.1,LOC116187280
XM_031515935.1,XP_031371795.1,LOC116187284
XM_031515936.1,XP_031371796.1,LOC116187284
XM_031515937.1,XP_031371797.1,LOC116187281
XM_031515938.1,XP_031371798.1,LOC116187284
XM_031515939.1,XP_031371799.1,LOC116187286
XM_031515940.1,XP_031371800.1,LOC116187287
XM_031515941.1,XP_031371801.1,LOC116187152
XM_031515942.1,XP_031371802.1,LOC116187288
XM_031515943.1,XP_031371803.1,LOC116187289
XM_031515944.1,XP_031371804.1,LOC116187290
XM_031515945.1,XP_031371805.1,LOC116187292
XM_031515946.1,XP_031371806.1,LOC116187293
XM_031515947.1,XP_031371807.1,LOC116187294
XM_031515948.1,XP_031371808.1,LOC116187291
XM_031515949.1,XP_031371809.1,LOC116187295
XM_031515950.1,XP_031371810.1,LOC116187296
XM_031515951.1,XP_031371811.1,LOC116187298
XM_031515952.1,XP_031371812.1,LOC116187299
XM_031515953.1,XP_031371813.1,LOC116187300
XM_031515954.1,XP_031371814.1,LOC116187300
XM_031515955.1,XP_031371815.1,LOC116187301
XM_031515956.1,XP_031371816.1,LOC116187301
XM_031515957.1,XP_031371817.1,LOC116187305
XM_031515958.1,XP_031371818.1,LOC116187302
XM_031515959.1,XP_031371819.1,LOC116187308
XM_031515960.1,XP_031371820.1,LOC116187308
XM_031515961.1,XP_031371821.1,LOC116187309
XM_031515962.1,XP_031371822.1,LOC116187309
XM_031515963.1,XP_031371823.1,LOC116187310
XM_031515964.1,XP_031371824.1,LOC116187311
XM_031515965.1,XP_031371825.1,LOC116187311
XM_031515966.1,XP_031371826.1,LOC116187313
XM_031515967.1,XP_031371827.1,LOC116187314
XM_031515968.1,XP_031371828.1,LOC116187312
XM_031515969.1,XP_031371829.1,LOC116187315
XM_031515970.1,XP_031371830.1,LOC116187316
XM_031515971.1,XP_031371831.1,LOC116187317
XM_031515972.1,XP_031371832.1,LOC116187318
XM_031515973.1,XP_031371833.1,LOC116187319
XM_031515974.1,XP_031371834.1,LOC116187320
XM_031515975.1,XP_031371835.1,LOC116187320
XM_031515976.1,XP_031371836.1,LOC116187312
XM_031515977.1,XP_031371837.1,LOC116187321
XM_031515978.1,XP_031371838.1,LOC116187322
XM_031515979.1,XP_031371839.1,LOC116187322
XM_031515980.1,XP_031371840.1,LOC116187323
XM_031515981.1,XP_031371841.1,LOC116187323
XM_031515982.1,XP_031371842.1,LOC116187325
XM_031515983.1,XP_031371843.1,LOC116187326
XM_031515984.1,XP_031371844.1,LOC116187328
XM_031515985.1,XP_031371845.1,LOC116187329
XM_031515986.1,XP_031371846.1,LOC116187327
XM_031515987.1,XP_031371847.1,LOC116187331
XM_031515988.1,XP_031371848.1,LOC116187332
XM_031515989.1,XP_031371849.1,LOC116187333
XM_031515990.1,XP_031371850.1,LOC116187334
XM_031515991.1,XP_031371851.1,LOC116187335
XM_031515992.1,XP_031371852.1,LOC116187337
XM_031515993.1,XP_031371853.1,LOC116187339
XM_031515994.1,XP_031371854.1,LOC116187339
XM_031515995.1,XP_031371855.1,LOC116187340
XM_031515996.1,XP_031371856.1,LOC116187341
XM_031515997.1,XP_031371857.1,LOC116187338
XM_031515998.1,XP_031371858.1,LOC116187341
XM_031515999.1,XP_031371859.1,LOC116187342
XM_031516000.1,XP_031371860.1,LOC116187343
XM_031516001.1,XP_031371861.1,LOC116187344
XM_031516002.1,XP_031371862.1,LOC116187345
XM_031516003.1,XP_031371863.1,LOC116187346
XM_031516004.1,XP_031371864.1,LOC116187346
XM_031516005.1,XP_031371865.1,LOC116187346
XM_031516006.1,XP_031371866.1,LOC116187346
XM_031516007.1,XP_031371867.1,LOC116187349
XM_031516008.1,XP_031371868.1,LOC116187350
XM_031516009.1,XP_031371869.1,LOC116187351
XM_031516010.1,XP_031371870.1,LOC116187353
XM_031516011.1,XP_031371871.1,LOC116187152
XM_031516012.1,XP_031371872.1,LOC116187354
XM_031516013.1,XP_031371873.1,LOC116187355
XM_031516014.1,XP_031371874.1,LOC116187357
XM_031516015.1,XP_031371875.1,LOC116187357
XM_031516016.1,XP_031371876.1,LOC116187359
XM_031516017.1,XP_031371877.1,LOC116187360
XM_031516018.1,XP_031371878.1,LOC116187358
XM_031516019.1,XP_031371879.1,LOC116187361
XM_031516020.1,XP_031371880.1,LOC116187362
XM_031516022.1,XP_031371882.1,LOC116187364
XM_031516023.1,XP_031371883.1,LOC116187365
XM_031516024.1,XP_031371884.1,LOC116187366
XM_031516025.1,XP_031371885.1,LOC116187366
XM_031516026.1,XP_031371886.1,LOC116187369
XM_031516027.1,XP_031371887.1,LOC116187370
XM_031516028.1,XP_031371888.1,LOC116187371
XM_031516029.1,XP_031371889.1,LOC116187367
XM_031516030.1,XP_031371890.1,LOC116187371
XM_031516031.1,XP_031371891.1,LOC116187371
XM_031516032.1,XP_031371892.1,LOC116187371
XM_031516033.1,XP_031371893.1,LOC116187372
XM_031516034.1,XP_031371894.1,LOC116187373
XM_031516035.1,XP_031371895.1,LOC116187373
XM_031516036.1,XP_031371896.1,LOC116187374
XM_031516037.1,XP_031371897.1,LOC116187375
XM_031516038.1,XP_031371898.1,LOC116187367
XM_031516039.1,XP_031371899.1,LOC116187376
XM_031516040.1,XP_031371900.1,LOC116187377
XM_031516041.1,XP_031371901.1,LOC116187378
XM_031516042.1,XP_031371902.1,LOC116187378
XM_031516043.1,XP_031371903.1,LOC116187379
XM_031516044.1,XP_031371904.1,LOC116187380
XM_031516045.1,XP_031371905.1,LOC116187381
XM_031516046.1,XP_031371906.1,LOC116187367
XM_031516047.1,XP_031371907.1,LOC116187382
XM_031516048.1,XP_031371908.1,LOC116187383
XM_031516049.1,XP_031371909.1,LOC116187384
XM_031516050.1,XP_031371910.1,LOC116187386
XM_031516051.1,XP_031371911.1,LOC116187386
XM_031516052.1,XP_031371912.1,LOC116187386
XM_031516053.1,XP_031371913.1,LOC116187367
XM_031516054.1,XP_031371914.1,LOC116187386
XM_031516055.1,XP_031371915.1,LOC116187386
XM_031516056.1,XP_031371916.1,LOC116187386
XM_031516057.1,XP_031371917.1,LOC116187387
XM_031516058.1,XP_031371918.1,LOC116187390
XM_031516059.1,XP_031371919.1,LOC116187392
XM_031516060.1,XP_031371920.1,LOC116187394
XM_031516061.1,XP_031371921.1,LOC116187396
XM_031516062.1,XP_031371922.1,LOC116187393
XM_031516063.1,XP_031371923.1,LOC116187397
XM_031516064.1,XP_031371924.1,LOC116187398
