transcript_id	description
XM_031515621.1	 chorismate mutase 2
XM_031515622.1	 ABC transporter C family member 5
XM_031515623.1	 uncharacterized LOC116187044
XM_031515624.1	 ubiquitin carboxyl-terminal hydrolase 24
XM_031515625.1	" UPF0481 protein At3g47200-like, transcript variant X1"
XM_031515626.1	" UPF0481 protein At3g47200-like, transcript variant X2"
XM_031515627.1	" transcription factor WER-like, transcript variant X1"
XM_031515628.1	" transcription factor WER-like, transcript variant X2"
XM_031515629.1	" transcription factor MYB1-like, transcript variant X1"
XM_031515630.1	" transcription factor MYB1-like, transcript variant X2"
XM_031515631.1	" transcription factor MYB1-like, transcript variant X3"
XM_031515632.1	 homeobox protein knotted-1-like 2
XM_031515633.1	" uncharacterized LOC116187049, transcript variant X1"
XM_031515634.1	 lachrymatory-factor synthase
XM_031515635.1	" small nuclear ribonucleoprotein SmD1a-like, transcript variant X1"
XM_031515636.1	" small nuclear ribonucleoprotein SmD1a-like, transcript variant X2"
XM_031515637.1	" glucan endo-1,3-beta-glucosidase-like, transcript variant X1"
XM_031515638.1	" glucan endo-1,3-beta-glucosidase-like, transcript variant X2"
XM_031515639.1	 uncharacterized LOC116187055
XM_031515640.1	 gibberellin-regulated protein 6
XM_031515641.1	" uncharacterized LOC116187049, transcript variant X2"
XM_031515642.1	" pentatricopeptide repeat-containing protein At5g50390, chloroplastic"
XM_031515643.1	 probable inactive purple acid phosphatase 27
XM_031515644.1	" snurportin-1, transcript variant X1"
XM_031515645.1	" snurportin-1, transcript variant X2"
XM_031515646.1	 uncharacterized LOC116187060
XM_031515647.1	 probable mediator of RNA polymerase II transcription subunit 37c
XM_031515648.1	 uncharacterized LOC116187062
XM_031515649.1	" uncharacterized LOC116187049, transcript variant X3"
XM_031515650.1	 heat shock cognate 70 kDa protein 2
XM_031515651.1	 cytochrome P450 78A5-like
XM_031515652.1	" putative UPF0481 protein At3g02645, transcript variant X1"
XM_031515653.1	" putative UPF0481 protein At3g02645, transcript variant X2"
XM_031515654.1	 dCTP pyrophosphatase 1
XM_031515655.1	 chloroplast processing peptidase-like
XM_031515656.1	 ethylene-responsive transcription factor ERF003-like
XM_031515657.1	" uncharacterized LOC116187049, transcript variant X4"
XM_031515658.1	 uncharacterized LOC116187070
XM_031515659.1	 LOB domain-containing protein 1-like
XM_031515660.1	 probable aspartic proteinase GIP2
XM_031515661.1	" small ribosomal subunit protein S13, mitochondrial-like"
XM_031515662.1	 serine/threonine-protein kinase Aurora-1
XM_031515663.1	 cellulose synthase A catalytic subunit 1 [UDP-forming]
XM_031515664.1	 uncharacterized LOC116187076
XM_031515665.1	 DNA-directed RNA polymerases II and IV subunit 5A-like
XM_031515666.1	 glycerol-3-phosphate acyltransferase 5-like
XM_031515667.1	" receptor-like protein 9DC3, transcript variant X1"
XM_031515668.1	" probable E3 ubiquitin-protein ligase RHB1A, transcript variant X1"
XM_031515669.1	" receptor-like protein 9DC3, transcript variant X2"
XM_031515670.1	 WAT1-related protein At4g08290-like
XM_031515671.1	 ATP-dependent RNA helicase DEAH13
XM_031515672.1	" protein MICROTUBULE BINDING PROTEIN 2C, transcript variant X1"
XM_031515673.1	" protein MICROTUBULE BINDING PROTEIN 2C, transcript variant X2"
XM_031515674.1	" D-aminoacyl-tRNA deacylase-like, transcript variant X1"
XM_031515675.1	" D-aminoacyl-tRNA deacylase-like, transcript variant X2"
XM_031515676.1	" D-aminoacyl-tRNA deacylase-like, transcript variant X3"
XM_031515677.1	" probable E3 ubiquitin-protein ligase RHB1A, transcript variant X2"
XM_031515678.1	" uncharacterized LOC116187086, transcript variant X1"
XM_031515679.1	" uncharacterized LOC116187086, transcript variant X2"
XM_031515680.1	 probably inactive leucine-rich repeat receptor-like protein kinase IMK2
XM_031515681.1	" AP3-complex subunit beta-A, transcript variant X1"
XM_031515682.1	" AP3-complex subunit beta-A, transcript variant X2"
XM_031515683.1	" protein INVOLVED IN DE NOVO 2-like, transcript variant X1"
XM_031515684.1	" protein INVOLVED IN DE NOVO 2-like, transcript variant X2"
XM_031515685.1	 16 kDa phloem protein 1
XM_031515686.1	 RING-H2 finger protein ATL16-like
XM_031515687.1	 RING-H2 finger protein ATL80-like
XM_031515688.1	 probable WRKY transcription factor 39
XM_031515689.1	" brassinosteroid-related acyltransferase 1, transcript variant X1"
XM_031515690.1	" brassinosteroid-related acyltransferase 1, transcript variant X2"
XM_031515691.1	" uncharacterized LOC116187095, transcript variant X1"
XM_031515692.1	" uncharacterized LOC116187095, transcript variant X2"
XM_031515693.1	 ethylene-response factor C3
XM_031515694.1	 putative receptor-like protein kinase At3g47110
XM_031515695.1	 pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1
XM_031515696.1	" UDP-glucose 6-dehydrogenase 3-like, transcript variant X1"
XM_031515697.1	" UDP-glucose 6-dehydrogenase 3-like, transcript variant X2"
XM_031515698.1	" UDP-glucose 6-dehydrogenase 3-like, transcript variant X3"
XM_031515699.1	" UDP-glucose 6-dehydrogenase 3-like, transcript variant X4"
XM_031515700.1	" uncharacterized LOC116187101, transcript variant X1"
XM_031515701.1	 protein JINGUBANG-like
XM_031515702.1	 aquaporin TIP4-1
XM_031515703.1	" nitrate reductase [NADH]-like, transcript variant X1"
XM_031515704.1	" nitrate reductase [NADH]-like, transcript variant X2"
XM_031515705.1	 protein BIG GRAIN 1-like A
XM_031515706.1	" plastidal glycolate/glycerate translocator 1, chloroplastic-like"
XM_031515708.1	 glutaredoxin-C6-like
XM_031515709.1	 uncharacterized LOC116187110
XM_031515710.1	" protein ACCELERATED CELL DEATH 6-like, transcript variant X1"
XM_031515711.1	" protein ACCELERATED CELL DEATH 6-like, transcript variant X2"
XM_031515712.1	" protein ACCELERATED CELL DEATH 6-like, transcript variant X3"
XM_031515713.1	" protein ACCELERATED CELL DEATH 6-like, transcript variant X4"
XM_031515714.1	" protein ACCELERATED CELL DEATH 6-like, transcript variant X5"
XM_031515716.1	" protein NRT1/ PTR FAMILY 5.6-like, transcript variant X1"
XM_031515717.1	" protein NRT1/ PTR FAMILY 5.6-like, transcript variant X2"
XM_031515718.1	" folylpolyglutamate synthase, transcript variant X1"
XM_031515719.1	" folylpolyglutamate synthase, transcript variant X2"
XM_031515720.1	 MDIS1-interacting receptor like kinase 2-like
XM_031515721.1	" folylpolyglutamate synthase, transcript variant X3"
XM_031515722.1	" probable glycosyltransferase At5g25310, transcript variant X2"
XM_031515723.1	 uncharacterized LOC116187118
XM_031515724.1	" adenylate isopentenyltransferase 3, chloroplastic-like"
XM_031515725.1	 transcription factor MYB123-like
XM_031515726.1	 fatty alcohol:caffeoyl-CoA acyltransferase
XM_031515727.1	 gibberellin 2-beta-dioxygenase 2
XM_031515728.1	" uncharacterized protein C17orf53 homolog, transcript variant X1"
XM_031515729.1	 protein NUCLEAR FUSION DEFECTIVE 4-like
XM_031515730.1	" AAA-ATPase ASD, mitochondrial-like"
XM_031515731.1	 probable aspartic proteinase GIP2
XM_031515732.1	 probable LRR receptor-like serine/threonine-protein kinase At1g56130
XM_031515733.1	 ammonium transporter 1 member 4-like
XM_031515734.1	 uncharacterized LOC116187129
XM_031515735.1	 uncharacterized LOC116187133
XM_031515736.1	 uncharacterized LOC116187135
XM_031515737.1	" protein DETOXIFICATION 43, transcript variant X1"
XM_031515738.1	" protein DETOXIFICATION 43, transcript variant X2"
XM_031515739.1	" protein EDS1B-like, transcript variant X1"
XM_031515740.1	" protein EDS1B-like, transcript variant X2"
XM_031515741.1	 protein EDS1B-like
XM_031515742.1	 serine/threonine-protein kinase fray2
XM_031515743.1	 ELF3-like protein 2
XM_031515744.1	 UDP-glycosyltransferase 89B2-like
XM_031515745.1	 7-deoxyloganetin glucosyltransferase-like
XM_031515746.1	 small nuclear ribonucleoprotein SmD1a-like
XM_031515747.1	 probable disease resistance protein At5g63020
XM_031515748.1	 salicylate carboxymethyltransferase-like
XM_031515749.1	 benzoate carboxyl methyltransferase-like
XM_031515750.1	" F-box protein FBW2, transcript variant X1"
XM_031515751.1	" replication factor C subunit 1, transcript variant X1"
XM_031515752.1	" replication factor C subunit 1, transcript variant X2"
XM_031515753.1	" replication factor C subunit 1, transcript variant X3"
XM_031515754.1	 65-kDa microtubule-associated protein 5
XM_031515755.1	" cytochrome P450 4F11-like, transcript variant X1"
XM_031515756.1	" cytochrome P450 4F11-like, transcript variant X2"
XM_031515757.1	" DNA replication complex GINS protein PSF2, transcript variant X1"
XM_031515758.1	" DNA replication complex GINS protein PSF2, transcript variant X2"
XM_031515759.1	" F-box protein FBW2, transcript variant X2"
XM_031515760.1	 probable inactive serine/threonine-protein kinase bub1
XM_031515761.1	" photosynthetic NDH subunit of subcomplex B 4, chloroplastic, transcript variant X1"
XM_031515762.1	" photosynthetic NDH subunit of subcomplex B 4, chloroplastic, transcript variant X2"
XM_031515763.1	" sister chromatid cohesion 1 protein 3, transcript variant X1"
XM_031515764.1	" sister chromatid cohesion 1 protein 3, transcript variant X2"
XM_031515765.1	 zinc finger protein SHOOT GRAVITROPISM 5
XM_031515766.1	 uncharacterized LOC116187161
XM_031515767.1	" F-box protein FBW2, transcript variant X3"
XM_031515768.1	" metal transporter Nramp5-like, transcript variant X1"
XM_031515769.1	" metal transporter Nramp5-like, transcript variant X2"
XM_031515770.1	 synaptotagmin-5-like
XM_031515771.1	 uncharacterized vacuolar membrane protein YML018C
XM_031515772.1	 vesicle-associated membrane protein 711
XM_031515773.1	 chalcone synthase-like
XM_031515774.1	 (-)-germacrene D synthase-like
XM_031515775.1	" F-box protein FBW2, transcript variant X4"
XM_031515776.1	 polygalacturonase QRT2-like
XM_031515777.1	" leucine-rich repeat protein soc-2 homolog, transcript variant X1"
XM_031515778.1	" leucine-rich repeat protein soc-2 homolog, transcript variant X2"
XM_031515779.1	 uncharacterized acetyltransferase At3g50280-like
XM_031515780.1	 auxin-induced in root cultures protein 12-like
XM_031515781.1	 homeobox-leucine zipper protein HOX11-like
XM_031515782.1	" peroxidase 43-like, transcript variant X1"
XM_031515783.1	" F-box protein FBW2, transcript variant X5"
XM_031515784.1	" peroxidase 43-like, transcript variant X2"
XM_031515785.1	" plasmodesmata-located protein 2-like, transcript variant X1"
XM_031515786.1	" plasmodesmata-located protein 2-like, transcript variant X2"
XM_031515787.1	" dnaJ protein homolog, transcript variant X1"
XM_031515788.1	" dnaJ protein homolog, transcript variant X2"
XM_031515789.1	 uncharacterized LOC116187176
XM_031515790.1	 cucumber peeling cupredoxin-like
XM_031515791.1	" probable polyamine transporter At1g31830, transcript variant X1"
XM_031515792.1	 putative RING-H2 finger protein ATL71
XM_031515793.1	" UPF0481 protein At3g47200-like, transcript variant X1"
XM_031515794.1	" UPF0481 protein At3g47200-like, transcript variant X2"
XM_031515795.1	" UPF0481 protein At3g47200-like, transcript variant X3"
XM_031515796.1	" gamma-tubulin complex component 5-like, transcript variant X1"
XM_031515797.1	" uncharacterized LOC116187181, transcript variant X1"
XM_031515798.1	" uncharacterized LOC116187181, transcript variant X2"
XM_031515799.1	" uncharacterized LOC116187181, transcript variant X3"
XM_031515800.1	" uncharacterized LOC116187181, transcript variant X4"
XM_031515801.1	" uncharacterized LOC116187181, transcript variant X5"
XM_031515802.1	" uncharacterized LOC116187181, transcript variant X6"
XM_031515803.1	" uncharacterized LOC116187181, transcript variant X7"
XM_031515804.1	" uncharacterized LOC116187181, transcript variant X8"
XM_031515805.1	" uncharacterized LOC116187181, transcript variant X9"
XM_031515806.1	" uncharacterized LOC116187181, transcript variant X10"
XM_031515807.1	" gamma-tubulin complex component 5-like, transcript variant X2"
XM_031515808.1	 alanine--tRNA ligase
XM_031515809.1	" probable splicing factor 3A subunit 1, transcript variant X1"
XM_031515810.1	" probable splicing factor 3A subunit 1, transcript variant X2"
XM_031515811.1	" probable splicing factor 3A subunit 1, transcript variant X3"
XM_031515812.1	" probable splicing factor 3A subunit 1, transcript variant X4"
XM_031515813.1	 7-deoxyloganetin glucosyltransferase-like
XM_031515814.1	 glycosyltransferase BC10
XM_031515815.1	 agamous-like MADS-box protein AGL29
XM_031515816.1	" probable serine/threonine-protein kinase At1g54610, transcript variant X1"
XM_031515817.1	" probable serine/threonine-protein kinase At1g54610, transcript variant X2"
XM_031515818.1	 agamous-like MADS-box protein AGL29
XM_031515819.1	" uncharacterized LOC116187187, transcript variant X1"
XM_031515820.1	 germin-like protein subfamily 1 member 14
XM_031515821.1	 germin-like protein subfamily 1 member 13
XM_031515822.1	" probable disease resistance protein At1g61300, transcript variant X1"
XM_031515823.1	" probable disease resistance protein At1g61300, transcript variant X2"
XM_031515824.1	" beta-1,2-xylosyltransferase XYXT1-like, transcript variant X1"
XM_031515825.1	" beta-1,2-xylosyltransferase XYXT1-like, transcript variant X2"
XM_031515826.1	" agamous-like MADS-box protein MADS9, transcript variant X1"
XM_031515827.1	" agamous-like MADS-box protein MADS9, transcript variant X2"
XM_031515828.1	" uncharacterized LOC116187187, transcript variant X2"
XM_031515829.1	 7-deoxyloganetin glucosyltransferase-like
XM_031515830.1	 uncharacterized LOC116187196
XM_031515831.1	 F-box protein CPR1-like
XM_031515832.1	 probable transcriptional regulator RABBIT EARS
XM_031515833.1	 transcription factor MYB8-like
XM_031515834.1	 uncharacterized LOC116187202
XM_031515835.1	 organic cation/carnitine transporter 1-like
XM_031515836.1	 transcription factor TCP17
XM_031515837.1	 zinc finger CCCH domain-containing protein 34-like
XM_031515838.1	" uncharacterized LOC116187207, transcript variant X1"
XM_031515839.1	" uncharacterized LOC116187207, transcript variant X2"
XM_031515840.1	 TMV resistance protein N-like
XM_031515841.1	" TMV resistance protein N-like, transcript variant X1"
XM_031515842.1	" TMV resistance protein N-like, transcript variant X2"
XM_031515843.1	 TMV resistance protein N-like
XM_031515844.1	" beta-glucosidase BoGH3B-like, transcript variant X1"
XM_031515845.1	" beta-glucosidase BoGH3B-like, transcript variant X2"
XM_031515846.1	" beta-glucosidase BoGH3B-like, transcript variant X3"
XM_031515847.1	" beta-glucosidase BoGH3B-like, transcript variant X4"
XM_031515848.1	" beta-glucosidase BoGH3B-like, transcript variant X5"
XM_031515849.1	 beta-glucosidase BoGH3B-like
XM_031515850.1	 uncharacterized LOC116187212
XM_031515851.1	" beta-glucosidase BoGH3B-like, transcript variant X1"
XM_031515852.1	" beta-glucosidase BoGH3B-like, transcript variant X2"
XM_031515853.1	" beta-glucosidase BoGH3B-like, transcript variant X3"
XM_031515854.1	 metalloendoproteinase 3-MMP-like
XM_031515855.1	 metalloendoproteinase 3-MMP-like
XM_031515856.1	 uncharacterized protein At3g28850-like
XM_031515857.1	" protein trichome birefringence-like 28, transcript variant X1"
XM_031515858.1	" protein trichome birefringence-like 28, transcript variant X2"
XM_031515859.1	" protein trichome birefringence-like 28, transcript variant X3"
XM_031515860.1	 putative glucuronosyltransferase PGSIP8
XM_031515861.1	" uncharacterized LOC116187222, transcript variant X1"
XM_031515862.1	" uncharacterized LOC116187222, transcript variant X2"
XM_031515863.1	" uncharacterized LOC116187222, transcript variant X3"
XM_031515864.1	" uncharacterized LOC116187222, transcript variant X4"
XM_031515865.1	 tetraspanin-18-like
XM_031515866.1	" zinc finger HIT domain-containing protein 3-like, transcript variant X1"
XM_031515867.1	" zinc finger HIT domain-containing protein 3-like, transcript variant X2"
XM_031515868.1	" photosynthetic NDH subunit of subcomplex B 3, chloroplastic"
XM_031515869.1	" uncharacterized protein At4g08330, chloroplastic-like"
XM_031515870.1	" uncharacterized protein DDB_G0271670-like, transcript variant X1"
XM_031515871.1	" probable polyamine transporter At1g31830, transcript variant X2"
XM_031515872.1	" uncharacterized LOC116187227, transcript variant X1"
XM_031515873.1	" uncharacterized protein DDB_G0271670-like, transcript variant X2"
XM_031515874.1	 germin-like protein subfamily 1 member 13
XM_031515875.1	 uncharacterized LOC116187231
XM_031515876.1	" nifU-like protein 3, chloroplastic"
XM_031515877.1	 plasma membrane ATPase 4
XM_031515878.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X1"
XM_031515879.1	" uncharacterized LOC116187227, transcript variant X2"
XM_031515880.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X2"
XM_031515881.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X3"
XM_031515882.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X4"
XM_031515883.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X5"
XM_031515884.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X6"
XM_031515885.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X7"
XM_031515886.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X8"
XM_031515887.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X9"
XM_031515888.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X10"
XM_031515889.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X11"
XM_031515890.1	" pentatricopeptide repeat-containing protein At4g21300, transcript variant X12"
XM_031515891.1	 ethylene-responsive transcription factor ERF014
XM_031515892.1	 protein GAST1
XM_031515893.1	" disease resistance protein SUMM2-like, transcript variant X1"
XM_031515894.1	" disease resistance protein SUMM2-like, transcript variant X2"
XM_031515895.1	" disease resistance protein SUMM2-like, transcript variant X3"
XM_031515896.1	 mini zinc finger protein 1-like
XM_031515897.1	 transcription factor MYB23-like
XM_031515898.1	 AAA-ATPase At5g17750-like
XM_031515899.1	 protein HYPER-SENSITIVITY-RELATED 4-like
XM_031515900.1	 wall-associated receptor kinase 2-like
XM_031515901.1	 heparanase-like protein 3
XM_031515902.1	 uncharacterized LOC116187248
XM_031515903.1	" ankyrin repeat-containing protein ITN1-like, transcript variant X1"
XM_031515904.1	 phosphoacetylglucosamine mutase
XM_031515905.1	" ankyrin repeat-containing protein ITN1-like, transcript variant X2"
XM_031515906.1	" ankyrin repeat-containing protein ITN1-like, transcript variant X3"
XM_031515907.1	" uncharacterized LOC116187251, transcript variant X1"
XM_031515908.1	" uncharacterized LOC116187251, transcript variant X2"
XM_031515909.1	" uncharacterized LOC116187251, transcript variant X3"
XM_031515910.1	" (-)-isopiperitenol/(-)-carveol dehydrogenase, mitochondrial-like"
XM_031515911.1	 uncharacterized LOC116187254
XM_031515912.1	 UDP-glucosyltransferase 29-like
XM_031515913.1	" uncharacterized LOC116187256, transcript variant X1"
XM_031515914.1	" uncharacterized LOC116187256, transcript variant X2"
XM_031515915.1	 homeobox-leucine zipper protein ROC6-like
XM_031515916.1	 ethylene-responsive transcription factor ERF017-like
XM_031515917.1	 patellin-4-like
XM_031515918.1	 transcription factor MYB13
XM_031515919.1	 cytochrome P450 CYP736A12-like
XM_031515920.1	 glutathione transferase GST 23-like
XM_031515921.1	 bidirectional sugar transporter SWEET1a-like
XM_031515923.1	 receptor-like protein Cf-9
XM_031515924.1	 uncharacterized LOC116187273
XM_031515925.1	" sacsin, transcript variant X1"
XM_031515926.1	" sacsin, transcript variant X2"
XM_031515927.1	" sacsin, transcript variant X3"
XM_031515928.1	 anthocyanidin 3-O-glucosyltransferase 2-like
XM_031515929.1	" photosystem II stability/assembly factor HCF136, chloroplastic, transcript variant X1"
XM_031515930.1	" photosystem II stability/assembly factor HCF136, chloroplastic, transcript variant X2"
XM_031515931.1	 LOB domain-containing protein 16
XM_031515932.1	 uncharacterized LOC116187278
XM_031515933.1	" phytochrome E-like, transcript variant X1"
XM_031515934.1	 putative laccase-9
XM_031515935.1	" uncharacterized protein At5g01610-like, transcript variant X1"
XM_031515936.1	" uncharacterized protein At5g01610-like, transcript variant X2"
XM_031515937.1	 uncharacterized LOC116187281
XM_031515938.1	" uncharacterized protein At5g01610-like, transcript variant X3"
XM_031515939.1	 putative GATA transcription factor 22
XM_031515940.1	 WRKY transcription factor 72A-like
XM_031515941.1	" probable polyamine transporter At1g31830, transcript variant X3"
XM_031515942.1	 transcription factor MYB36-like
XM_031515943.1	 heat shock cognate 70 kDa protein-like
XM_031515944.1	 glycine-rich protein 5-like
XM_031515945.1	 ankyrin repeat-containing protein ITN1-like
XM_031515946.1	 E2F transcription factor-like E2FE
XM_031515947.1	 CSC1-like protein At4g02900
XM_031515948.1	 bet1-like SNARE 1-2
XM_031515949.1	 protein MIS12 homolog
XM_031515950.1	 adenine/guanine permease AZG1-like
XM_031515951.1	 chalcone--flavonone isomerase-like
XM_031515952.1	 ankyrin repeat-containing protein ITN1-like
XM_031515953.1	" uncharacterized LOC116187300, transcript variant X1"
XM_031515954.1	" uncharacterized LOC116187300, transcript variant X2"
